from,to,comm_from,comm_to
10925,157937,1,1
123146,102864,1,1
93682,48937,1,1
109882,126762,1,1
72544,143193,1,1
81991,102864,1,1
21243,75138,1,1
119767,11222,1,1
155942,102864,1,1
2091,58670,1,1
97481,71926,1,1
73021,71846,1,1
103147,27411,1,1
64799,17270,1,1
171705,75451,1,1
109012,59926,1,1
171735,144217,1,1
36287,102864,1,1
77704,102864,1,1
87230,102864,1,1
58670,164704,1,1
105356,102864,1,1
169948,102864,1,1
73021,102864,1,1
67917,44428,1,1
54381,159260,1,1
93682,102864,1,1
120400,36386,1,1
20248,97953,1,1
43606,20248,1,1
43966,134630,1,1
75689,147905,1,1
123146,117201,1,1
164787,63855,1,1
26400,150781,1,1
173616,102864,1,1
175734,36386,1,1
168116,123118,1,1
72536,109012,1,1
38127,95063,1,1
66052,10322,1,1
124721,45697,1,1
92520,173494,1,1
167678,167024,1,1
46722,102864,1,1
109988,55474,1,1
36675,31668,1,1
38217,19158,1,1
18593,17554,1,1
6236,142228,1,1
96001,102864,1,1
111071,46649,1,1
46722,139585,1,1
17453,102864,1,1
18161,89021,1,1
94629,32018,1,1
81555,102371,1,1
62009,102864,1,1
77495,44361,1,1
25755,6236,1,1
126854,103679,1,1
98957,6599,1,1
73021,174776,1,1
89021,102864,1,1
46722,31873,1,1
93970,83606,1,1
113204,58670,1,1
126854,9399,1,1
139585,116479,1,1
12737,102864,1,1
35232,43394,1,1
16771,73455,1,1
43966,102864,1,1
22553,102864,1,1
98957,9399,1,1
164704,151950,1,1
30966,113204,1,1
36287,164770,1,1
125900,102864,1,1
146879,43798,1,1
81743,130523,1,1
126854,130455,1,1
168209,105352,1,1
87411,21866,1,1
93682,17951,1,1
76074,12737,1,1
31873,51187,1,1
9399,58670,1,1
16771,33082,1,1
119357,53787,1,1
155985,112721,1,1
128624,67086,1,1
71846,137913,1,1
79552,26986,1,1
131290,112721,1,1
138099,102864,1,1
129126,22372,1,1
138422,159607,1,1
160552,16002,1,1
119603,147905,1,1
155006,169006,1,1
9082,58670,1,1
73021,102864,1,1
58085,173938,1,1
105356,102864,1,1
73021,45697,1,1
97530,78919,1,1
90393,78273,1,1
38127,113001,1,1
38128,130145,1,1
164770,102864,1,1
114828,20111,1,1
72391,46475,1,1
124540,36898,1,1
174784,110203,1,1
119196,102864,1,1
42888,36675,1,1
38128,17270,1,1
59833,51187,1,1
121860,22372,1,1
149650,36898,1,1
46722,43966,1,1
86249,117664,1,1
173938,6599,1,1
69720,6236,1,1
108557,46620,1,1
