from,to,comm_from,comm_to
3456,154219,1,1
73021,45697,1,1
50114,58670,1,1
106017,16963,1,1
101447,170646,2,2
16340,150781,1,1
16340,46649,1,1
16340,167024,1,1
16340,130455,1,1
16340,36506,1,1
108373,114560,1,2
77929,127243,1,1
77929,69323,1,1
77929,21866,1,1
77929,26432,1,1
77929,69992,1,1
77929,69323,1,1
77929,21866,1,1
57216,129392,1,1
34312,47770,1,1
152368,58670,1,1
137422,46450,1,1
101447,47405,2,2
78660,21089,1,1
78660,36506,1,1
78660,130455,1,1
78660,93947,1,1
78660,143193,1,1
78660,64289,1,1
22159,75612,2,2
132842,129957,1,1
132842,129957,1,1
137051,46649,1,1
76683,158763,2,2
25108,17554,1,1
76683,47405,2,2
110929,6599,1,1
34312,89021,1,1
160437,45697,1,1
126854,66181,1,1
110929,50058,1,1
69555,86544,2,2
69555,91841,2,2
99816,69992,1,1
120208,102864,1,1
4346,89021,1,1
16002,102864,1,1
39856,17554,1,1
134669,58670,1,1
134669,46649,1,1
1697,17554,1,1
76894,46649,1,1
73021,14736,1,1
78989,103012,1,1
78989,17554,1,1
63643,6599,1,1
93322,58670,1,1
138286,162407,1,1
138286,167024,1,1
138286,6599,1,1
73021,71867,1,1
159793,153896,2,2
134669,4221,1,1
25755,40374,1,1
25755,102864,1,1
25755,51187,1,1
25755,100702,1,1
16002,67014,1,1
29673,58670,2,1
29673,69323,2,1
29673,58670,2,1
69773,17554,1,1
141298,102864,1,1
89052,159270,1,1
137051,31923,1,1
77704,67086,1,1
77704,167024,1,1
77704,6599,1,1
119340,154219,1,1
101447,55474,2,1
101447,134630,2,1
101447,142127,2,1
101447,19530,2,2
101447,37590,2,2
3443,158763,2,2
39856,162407,1,1
39856,167024,1,1
39856,6599,1,1
10165,6599,1,1
138422,168359,1,1
97323,89021,1,1
128684,45697,1,1
95650,26202,1,2
95650,149869,1,2
95650,28840,1,2
95650,46649,1,1
145405,71427,1,1
145405,46649,1,1
162407,102864,1,1
86157,58670,1,1
168702,128624,1,1
168702,55474,1,1
97427,128624,1,1
97427,55474,1,1
34835,3209,1,1
34835,6599,1,1
13358,102601,1,1
44573,48843,1,1
43041,119383,2,2
6599,162407,1,1
6599,167024,1,1
6599,6599,1,1
134306,142228,1,1
134306,131106,1,1
34835,102864,1,1
25755,31027,1,1
59443,89432,1,1
59443,167024,1,1
59443,6599,1,1
97323,77347,1,1
